APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	Cont_S1.PAU	Cont_S2.PAU	Cont_S3.PAU	Cont_S4.PAU	TDP43_S5.PAU	TDP43_S6.PAU	TDP43_S7.PAU	Cont_S1.TPM	Cont_S2.TPM	Cont_S3.TPM	Cont_S4.TPM	TDP43_S5.TPM	TDP43_S6.TPM	TDP43_S7.TPM	Site	Control_mean_PAU	KO_mean_PAU	DeltaPAU	P_value	FDR	APA_direction	Mechanistic_category
ENSG00000048028.14_1_S	ENST00000003302,ENST00001045328,ENST00001070195	ENSG00000048028.14	USP28	chr11	113797873	113799415	-	113797873	113799239	1366	1	100	100	100	100	100	100	100	5.257046	4.97016	3.897319	5.858517	4.248294	3.706248	3.78581	S	100	100	0	1	1	NS	NS
ENSG00000001460.20_1_S	ENST00000003583	ENSG00000001460.20	STPG1	chr1	24356998	24358619	-	24356998	24358542	1544	1	100	100	100	100	100	100	100	9.399004	10.019586	12.070041	9.704441	10.293761	9.011655	11.763913	S	100	100	0	1	1	NS	NS
ENSG00000001461.21_2_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476647	+	24469185	24476647	7462	3	0	16.037	24.546	19.976	36.452	18.028	0	0	1.943325	2.663609	2.342996	3.013756	1.844005	0	D	15.13975	18.16	3.02025	0.814381306233585	1	NS	NS
ENSG00000001461.21_3_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476735	+	24469185	24476735	7550	3	13.649	0	0	0	0	0	22.303	1.658614	0	0	0	0	0	2.177711	D	3.41225	7.43433333333333	4.02208333333333	0.658329754428922	1	NS	NS
ENSG00000001461.21_1_P	ENST00000003912,ENST00001128149	ENSG00000001461.21	NIPAL3	chr1	24468985	24475252	+	24474233	24475252	1019	3	86.351	83.963	75.454	80.024	63.548	81.972	77.697	10.493204	10.174731	8.187767	9.386046	5.253874	8.38461	7.586611	P	81.448	74.4056666666667	-7.04233333333333	0.336146115221632	1	NS	NS
ENSG00000002933.11_1_S	ENST00000004103,ENST00001001463,ENST00001001471,ENST00001001475,ENST00001103697,ENST00001103698,ENST00001103701,ENST00001142474,ENST00001103699,ENST00001116934	ENSG00000002933.11	TMEM176A	chr7	150804826	150805119	+	150804995	150805119	124	1	NA	NA	NA	NA	NA	100	NA	0	0	0	0	0	0.341057	0	S	NA	100	NA	NA	NA	NS	NS
ENSG00000003989.20_2_D	ENST00000004531	ENSG00000003989.20	SLC7A2	chr8	17564949	17570568	+	17565146	17570568	5422	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	1	1	NS	NS
ENSG00000003989.20_1_P	ENST00000004531,ENST00001125770	ENSG00000003989.20	SLC7A2	chr8	17564949	17570518	+	17565146	17570518	5372	2	100	100	100	100	100	100	100	0.073407	0.055457	0.080983	0.059801	0.102927	0.079695	0.098007	P	100	100	0	1	1	NS	NS
ENSG00000004776.15_1_S	ENST00000004982	ENSG00000004776.15	HSPB6	chr19	35754568	35755683	-	35754568	35755521	953	1	100	100	100	100	100	100	NA	0.342904	0.399298	0.192121	0.29835	0.165355	0.23965	0	S	100	100	0	1	1	NS	NS
ENSG00000004799.10_1_S	ENST00000005178	ENSG00000004799.10	PDK4	chr7	95583502	95585781	-	95583502	95585640	2138	1	NA	NA	NA	NA	NA	100	100	0	0	0	0	0	0.067267	0.034013	S	NA	100	NA	NA	NA	NS	NS
ENSG00000006606.10_1_S	ENST00000005180	ENSG00000006606.10	CCL26	chr7	75769532	75769789	-	75769532	75769692	160	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000006611.19_1_S	ENST00000005226,ENST00000318024,ENST00000957656,ENST00000976219,ENST00001047962,ENST00001047964,ENST00001139894,ENST00001139895	ENSG00000006611.19	USH1C	chr11	17493894	17494376	-	17493894	17494065	171	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000006451.10_1_S	ENST00000005257,ENST00001125900,ENST00001143339	ENSG00000006451.10	RALA	chr7	39706122	39708124	+	39706245	39708124	1879	1	100	100	100	100	100	100	100	85.755303	94.387486	87.193668	97.754583	104.583696	86.915494	94.54996	S	100	100	0	1	1	NS	NS
ENSG00000006453.16_1_S	ENST00000005260,ENST00001065567,ENST00001141367	ENSG00000006453.16	BAIAP2L1	chr7	98291649	98293596	-	98291649	98293520	1871	1	100	100	100	100	100	100	100	0.191099	0.122765	0.310185	0.285651	0.269611	0.054508	0.242016	S	100	100	0	1	1	NS	NS
ENSG00000006116.6_1_S	ENST00000005284,ENST00001100821	ENSG00000006116.6	CACNG3	chr16	24361351	24362408	+	24361978	24362408	430	1	100	100	100	100	NA	100	100	0.217029	0.209599	0.183884	0.045502	0	0.097189	0.219235	S	100	100	0	1	1	NS	NS
ENSG00000006625.20_1_S	ENST00000005374,ENST00000275428,ENST00000409390,ENST00000912164,ENST00001082390	ENSG00000006625.20	GGCT	chr7	30496620	30498938	-	30496620	30497091	471	1	100	100	100	100	100	100	100	26.217338	30.058081	22.165729	26.016512	20.955144	23.52757	24.688086	S	100	100	0	1	1	NS	NS
ENSG00000005175.12_1_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661248	47663590	-	47661248	47663504	2256	4	71.992	47.84	60.393	70.641	60.63	62.09	63.802	25.806801	17.222311	21.94985	25.092478	26.431107	20.959737	21.925003	D	62.7165	62.174	-0.542500000000004	0.929508730719001	1	NS	NS
ENSG00000005175.12_2_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661935	47663590	-	47661935	47663504	1569	4	28.008	52.16	39.607	29.359	11.108	37.91	36.198	10.039769	18.77742	14.395199	10.428752	4.842421	12.797416	12.439116	D	37.2835	28.4053333333333	-8.87816666666667	0.442833515813089	1	NS	NS
ENSG00000005175.12_3_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47662245	47663590	-	47662245	47663504	1259	4	0	0	0	0	28.262	0	0	0	0	0	0	12.320811	0	0	D	0	9.42066666666667	9.42066666666667	0.422649730810374	1	NS	NS
ENSG00000005175.12_4_P	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47663286	47663590	-	47663286	47663504	218	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P	0	0	0	1	1	NS	NS
ENSG00000006652.16_1_P	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112475749	+	112475519	112475749	230	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P	0	0	0	1	1	NS	NS
ENSG00000006652.16_2_D	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112476192	+	112475519	112476192	673	2	100	100	100	100	100	100	100	136.862189	156.285118	118.09496	153.18204	131.818529	122.738217	122.150193	D	100	100	0	1	1	NS	NS
ENSG00000007001.16_1_P	ENST00000005756	ENSG00000007001.16	UPP2	chr2	158134747	158135966	+	158134890	158135966	1076	2	100	NA	100	100	NA	NA	100	0.080921	0	0.169347	0.156724	0	0	0.226908	P	100	100	0	NA	NA	NS	NS
ENSG00000007001.16_2_D	ENST00000005756	ENSG00000007001.16	UPP2	chr2	158134747	158136154	+	158134890	158136154	1264	2	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	D	0	0	0	NA	NA	NS	NS
ENSG00000007038.13_1_S	ENST00000005995,ENST00001010660,ENST00001101588,ENST00001101589,ENST00001101590,ENST00001101591,ENST00001140273	ENSG00000007038.13	PRSS21	chr16	2821365	2821719	+	2821605	2821719	114	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000005073.7_1_S	ENST00000006015	ENSG00000005073.7	HOXA11	chr7	27181514	27183028	-	27181514	27182795	1281	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000006210.8_1_P	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57383033	+	57383032	57383033	1	3	0	0	0	0	100	0	100	0	0	0	0	0.056552	0	0.167765	P	0	66.6666666666667	66.6666666666667	0.183503419072274	1	NS	NS
ENSG00000006210.8_2_D	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57383358	+	57383032	57383358	326	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	1	1	NS	NS
ENSG00000006210.8_3_D	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57385048	+	57383032	57385048	2016	3	100	100	100	100	0	100	0	0.218937	0.053419	0.081033	0.095624	0	0.030146	0	D	100	33.3333333333333	-66.6666666666667	0.183503419072274	1	NS	NS
ENSG00000186654.23_1_S	ENST00000006251,ENST00001050327,ENST00001123079	ENSG00000186654.23	PRR5	chr22	44736771	44737681	+	44737247	44737681	434	1	100	100	100	100	100	100	100	34.852734	30.873988	34.792695	26.741213	33.483492	33.402932	34.063044	S	100	100	0	1	1	NS	NS
ENSG00000007255.12_1_S	ENST00000006275,ENST00000977375,ENST00001142961,ENST00001084578	ENSG00000007255.12	TRAPPC6A	chr19	45162952	45164009	-	45162952	45163191	239	1	100	100	100	100	100	100	100	9.006834	7.914072	10.922817	8.419972	13.794908	13.226654	12.205268	S	100	100	0	1	1	NS	NS
ENSG00000006282.24_1_S	ENST00000006658	ENSG00000006282.24	SPATA20	chr17	50555491	50555852	+	50555662	50555852	190	1	100	100	100	100	100	100	100	48.69296	39.934806	47.227831	39.754984	35.84641	40.751896	33.073179	S	100	100	0	1	1	NS	NS
ENSG00000007376.10_1_S	ENST00000007264,ENST00000985050,ENST00000985051	ENSG00000007376.10	RPUSD1	chr16	784973	786377	-	784973	785949	976	1	100	100	100	100	100	100	100	46.112499	35.419676	49.947248	37.156502	50.273583	45.274967	46.011585	S	100	100	0	1	1	NS	NS
ENSG00000004777.20_1_S	ENST00000007510,ENST00000378944	ENSG00000004777.20	ARHGAP33	chr19	35787167	35788822	+	35788429	35788822	393	1	100	100	100	100	100	100	100	88.352233	73.070421	102.487224	74.447697	79.553783	79.581435	88.819323	S	100	100	0	1	1	NS	NS
ENSG00000008517.21_2_D	ENST00000008180	ENSG00000008517.21	IL32	chr16	3068989	3069667	+	3069355	3069667	312	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	D	0	0	0	1	1	NS	NS
ENSG00000008517.21_1_P	ENST00000008180,ENST00001104469,ENST00001104470,ENST00001104471,ENST00001140899,ENST00000396887	ENSG00000008517.21	IL32	chr16	3068989	3069551	+	3069355	3069551	196	2	100	100	100	100	100	NA	100	0.133711	0.233605	0.448586	0.299771	0.640793	0	0.121293	P	100	100	0	1	1	NS	NS
ENSG00000008438.6_1_S	ENST00000008938,ENST00001103639,ENST00001141945	ENSG00000008438.6	PGLYRP1	chr19	46019152	46019419	-	46019152	46019226	74	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000010278.17_1_S	ENST00000009180,ENST00001124095	ENSG00000010278.17	CD9	chr12	6237762	6238271	+	6237974	6238271	297	1	100	NA	NA	NA	100	NA	NA	0.356475	0	0	0	1.052461	0	0	S	100	100	0	NA	NA	NS	NS
ENSG00000010219.15_1_P	ENST00000010132,ENST00000543431	ENSG00000010219.15	DYRK4	chr12	4613511	4613875	+	4613753	4613875	122	3	97.061	96.468	92.164	96.06	97.958	96.511	97.106	13.278097	10.45251	8.053269	10.51611	21.447937	22.738878	17.316029	P	95.43825	97.1916666666667	1.75341666666665	0.21735951730737	1	NS	NS
ENSG00000010219.15_2_D	ENST00000010132,ENST00001135047	ENSG00000010219.15	DYRK4	chr12	4613511	4614051	+	4613753	4614051	298	3	0	0	6.406	0	0	1.971	0	0	0	0.55975	0	0	0.464353	0	D	1.6015	0.657	-0.9445	0.61482473166159	1	NS	NS
ENSG00000010219.15_3_D	ENST00000010132,ENST00001135047	ENSG00000010219.15	DYRK4	chr12	4613511	4615302	+	4613753	4615302	1549	3	2.939	3.532	1.43	3.94	2.042	1.518	2.894	0.401996	0.382722	0.124959	0.431274	0.446997	0.357715	0.516151	D	2.96025	2.15133333333333	-0.808916666666666	0.288560028874483	1	NS	NS
ENSG00000008282.12_1_D	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106090503	106091939	-	106090503	106091804	1301	2	31.082	59.056	40.27	37.476	70.16	100	39.452	4.051043	5.699831	4.641245	5.674284	7.947218	5.639929	4.898666	D	41.971	69.8706666666667	27.8996666666667	0.246541518585497	1	NS	NS
ENSG00000008282.12_2_P	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106091694	106091939	-	106091694	106091804	110	2	68.918	40.944	59.73	62.524	29.84	0	60.548	8.982561	3.951693	6.884183	9.466866	3.380108	0	7.518083	P	58.029	30.1293333333333	-27.8996666666667	0.246541518585497	1	NS	NS
ENSG00000010017.15_1_S	ENST00000011619	ENSG00000010017.15	RANBP9	chr6	13621497	13622492	-	13621497	13622361	864	1	100	100	100	100	100	100	100	65.644594	77.335437	80.23364	76.382346	70.147736	52.651385	68.284481	S	100	100	0	1	1	NS	NS
ENSG00000010610.12_1_S	ENST00000011653	ENSG00000010610.12	CD4	chr12	6819298	6820807	+	6819329	6820807	1478	1	100	100	100	100	100	100	100	0.070776	0.183346	0.200816	0.204277	0.527513	0.306467	0.069541	S	100	100	0	1	1	NS	NS
ENSG00000008323.18_1_S	ENST00000011684	ENSG00000008323.18	PLEKHG6	chr12	6328135	6328506	+	6328145	6328506	361	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000008324.14_1_S	ENST00000011691,ENST00001091336	ENSG00000008324.14	SS18L2	chr3	42594421	42594994	+	42594526	42594994	468	1	100	100	100	100	100	100	100	70.897807	86.3828	65.985121	81.550529	66.89489	75.265335	74.054849	S	100	100	0	1	1	NS	NS
ENSG00000186115.15_1_S	ENST00000011989,ENST00000997165,ENST00001142942	ENSG00000186115.15	CYP4F2	chr19	15878022	15878936	-	15878022	15878770	748	1	100	100	NA	NA	NA	100	NA	0.062011	0.043476	0	0	0	0.057757	0	S	100	100	0	NA	NA	NS	NS
ENSG00000011478.14_1_S	ENST00000012049	ENSG00000011478.14	QPCTL	chr19	45702903	45703989	+	45703049	45703989	940	1	100	100	100	100	100	100	100	5.561221	4.022358	5.061613	4.74197	5.773576	4.811011	6.306233	S	100	100	0	1	1	NS	NS
ENSG00000010818.13_1_S	ENST00000012134	ENSG00000010818.13	HIVEP2	chr6	142751466	142753931	-	142751466	142753106	1640	1	100	100	100	100	100	100	100	13.117904	11.579968	11.933106	12.223553	13.290545	14.056589	12.802539	S	100	100	0	1	1	NS	NS
ENSG00000012963.17_1_S	ENST00000013070,ENST00001118729	ENSG00000012963.17	UBR7	chr14	93226942	93229215	+	93227035	93229215	2180	1	100	100	100	100	100	100	100	44.470599	43.694428	46.985552	46.961258	45.795153	41.727584	48.887184	S	100	100	0	1	1	NS	NS
ENSG00000012983.14_1_S	ENST00000013125,ENST00001059165,ENST00001134075	ENSG00000012983.14	MAP4K5	chr14	50418500	50420106	-	50418500	50420018	1518	1	100	100	100	100	100	100	100	57.466109	65.519818	54.455305	59.57476	66.943011	58.733541	58.863892	S	100	100	0	1	1	NS	NS
ENSG00000241644.3_1_P	ENST00000013222	ENSG00000241644.3	INMT	chr7	30755421	30757144	+	30755851	30757144	1293	2	100	0	100	100	NA	100	0	0.104087	0	0.039736	0.149034	0	0.031226	0	P	75	50	-25	0.709843323940722	1	NS	NS
ENSG00000241644.3_2_D	ENST00000013222	ENSG00000241644.3	INMT	chr7	30755421	30757602	+	30755851	30757602	1751	2	0	100	0	0	NA	0	100	0	0.068485	0	0	0	0	0.103953	D	25	50	25	0.709843323940722	1	NS	NS
ENSG00000013588.12_2_D	ENST00000014914	ENSG00000013588.12	GPRC5A	chr12	12912446	12917937	+	12912539	12917937	5398	2	NA	NA	NA	NA	NA	NA	100	0	0	0	0	0	0	0.010343	D	NA	100	NA	NA	NA	NS	NS
ENSG00000013588.12_1_P	ENST00000014914,ENST00000907831	ENSG00000013588.12	GPRC5A	chr12	12912446	12913659	+	12912539	12913659	1120	2	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	P	NA	0	NA	NA	NA	NS	NS
ENSG00000071203.11_1_S	ENST00000016913	ENSG00000071203.11	MS4A12	chr11	60507019	60507430	+	60507124	60507430	306	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	S	NA	NA	NA	NA	NA	NS	NS
ENSG00000015568.15_1_P	ENST00000016946	ENSG00000015568.15	RGPD5	chr2	109855861	109856688	+	109855896	109856688	792	2	NA	NA	100	7.335	NA	8.262	100	0	0	3.986813	2.715948	0	3.14146	11.274913	P	53.6675	54.131	0.463500000000003	0.994973151627843	1	NS	NS
ENSG00000015568.15_2_D	ENST00000016946	ENSG00000015568.15	RGPD5	chr2	109855861	109857693	+	109855896	109857693	1797	2	NA	NA	0	92.665	NA	91.738	0	0	0	0	34.31203	0	34.881823	0	D	46.3325	45.869	-0.463500000000003	0.994973151627843	1	NS	NS
ENSG00000015532.12_1_S	ENST00000017003,ENST00001125228,ENST00001137083	ENSG00000015532.12	XYLT2	chr17	50359968	50361151	+	50360291	50361151	860	1	100	100	100	100	100	100	100	5.224832	5.36981	7.531796	4.615092	7.46896	5.987135	9.142856	S	100	100	0	1	1	NS	NS
ENSG00000017797.15_4_D	ENST00000019317	ENSG00000017797.15	RALBP1	chr18	9535670	9538114	+	9535937	9538114	2177	4	14.704	17.107	17.606	13.533	18.338	12.658	11.808	7.866821	6.810026	8.546218	6.119594	8.293085	5.893932	5.798892	D	15.7375	14.268	-1.4695	0.564625971019041	1	NS	NS
ENSG00000017797.15_1_P	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9536225	+	9535937	9536225	288	4	32.539	0	20.37	10.811	0	14.779	19.322	17.408385	0	9.887879	4.889102	0	6.881171	9.48934	P	15.93	11.367	-4.563	0.635731366662592	1	NS	NS
ENSG00000017797.15_2_D	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9537546	+	9535937	9537546	1609	4	29.091	32.742	33.75	20.243	81.662	40.794	45.067	15.563938	13.034191	16.382192	9.154006	36.929445	18.994374	22.132855	D	28.9565	55.841	26.8845	0.168089268111186	1	NS	NS
ENSG00000017797.15_3_D	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9537603	+	9535937	9537603	1666	4	23.666	50.151	28.274	55.413	0	31.769	23.803	12.661724	19.964751	13.724223	25.058611	0	14.791874	11.689787	D	39.376	18.524	-20.852	0.161894992317844	1	NS	NS
ENSG00000019549.14_1_D	ENST00000020945	ENSG00000019549.14	SNAI2	chr8	48917603	48918988	-	48917603	48918806	1203	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	1	1	NS	NS
ENSG00000019549.14_2_P	ENST00000020945	ENSG00000019549.14	SNAI2	chr8	48917767	48918988	-	48917767	48918806	1039	2	100	100	100	100	100	100	100	1.581501	2.438973	0.94585	1.545196	0.560262	0.90464	1.202919	P	100	100	0	1	1	NS	NS
ENSG00000078668.16_1_S	ENST00000022615,ENST00001092876,ENST00001092877,ENST00001092878,ENST00001092879,ENST00000919928	ENSG00000078668.16	VDAC3	chr8	42405370	42405897	+	42405462	42405897	435	1	100	100	100	100	100	100	100	362.382712	407.809287	424.776847	417.354142	414.444035	345.067055	402.892772	S	100	100	0	1	1	NS	NS
ENSG00000021488.15_1_S	ENST00000023064,ENST00000990834,ENST00000990840,ENST00001135602	ENSG00000021488.15	SLC7A9	chr19	32830508	32830684	-	32830508	32830619	111	1	100	100	NA	100	100	100	100	4.053863	2.733694	0	2.36114	4.958259	4.800658	2.40316	S	100	100	0	1	1	NS	NS
ENSG00000022355.20_1_P	ENST00000023897	ENSG00000022355.20	GABRA1	chr5	161897110	161898976	+	161897422	161898976	1554	3	NA	NA	100	100	0	NA	NA	0	0	0.250123	0.061051	0	0	0	P	100	0	-100	NA	NA	NS	NS
ENSG00000022355.20_2_D	ENST00000023897	ENSG00000022355.20	GABRA1	chr5	161897110	161899408	+	161897422	161899408	1986	3	NA	NA	0	0	100	NA	NA	0	0	0	0	0.040154	0	0	D	0	100	100	NA	NA	NS	NS
ENSG00000022355.20_3_D	ENST00000023897	ENSG00000022355.20	GABRA1	chr5	161897110	161899959	+	161897422	161899959	2537	3	NA	NA	0	0	0	NA	NA	0	0	0	0	0	0	0	D	0	0	0	NA	NA	NS	NS
ENSG00000022277.15_1_P	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56518887	+	56518265	56518887	622	2	99.888	99.803	99.816	99.957	99.815	99.847	99.955	122.73403	127.419769	131.181033	123.425009	117.697077	125.701616	134.929558	P	99.866	99.8723333333333	0.00633333333333042	0.913961875774827	1	NS	NS
ENSG00000022277.15_2_D	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56519449	+	56518265	56519449	1184	2	0.112	0.197	0.184	0.043	0.185	0.153	0.045	0.137822	0.251719	0.24195	0.053704	0.218045	0.192985	0.06137	D	0.134	0.127666666666667	-0.00633333333333336	0.913961875774788	1	NS	NS
ENSG00000022567.12_1_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141207165	141212556	-	141207165	141211441	4276	3	100	100	100	100	100	100	100	10.417728	9.427808	10.324078	9.722009	10.165862	10.50355	10.212465	D	100	100	0	1	1	NS	NS
ENSG00000022567.12_2_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141210600	141212556	-	141210600	141211441	841	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	1	1	NS	NS
ENSG00000022567.12_3_P	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141210697	141212556	-	141210697	141211441	744	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P	0	0	0	1	1	NS	NS
ENSG00000023516.11_1_S	ENST00000025301	ENSG00000023516.11	AKAP11	chr13	42319087	42323267	+	42319228	42323267	4039	1	100	100	100	100	100	100	100	38.530681	34.411711	40.040187	39.810243	43.571828	43.017613	41.864755	S	100	100	0	1	1	NS	NS
