APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	MATR3_KO1_Rep1.PAU	MATR3_KO1_Rep2.PAU	MATR3_KO5_Rep1.PAU	WT1_Rep1.PAU	WT1_Rep2.PAU	WT1_Rep3.PAU	WT7_Rep1.PAU	WT7_Rep2.PAU	MATR3_KO1_Rep1.TPM	MATR3_KO1_Rep2.TPM	MATR3_KO5_Rep1.TPM	WT1_Rep1.TPM	WT1_Rep2.TPM	WT1_Rep3.TPM	WT7_Rep1.TPM	WT7_Rep2.TPM	TPM_pass_n	Expression_Pass	WT_mean_PAU	MATR3_KO_mean_PAU	DeltaPAU	P_value	FDR	minus_log10_P	Min_Length	Max_Length	APA_Site	Mechanism	Four_Category
ENSG00000003989.20_1_P	ENST00000004531,ENST00001125770	ENSG00000003989.20	SLC7A2	chr8	17564949	17570518	+	17565146	17570518	5372	2	100	91.046	100	100	100	100	100	100	14.585978	13.683702	20.292508	31.912025	30.368316	33.587563	33.620055	33.724702	8	TRUE	100	97.0153333333333	-2.98466666666667	0.422649730810374	0.958982962316213	0.374019403294521	5372	5372	Intermediate	NS	NS
ENSG00000005175.12_1_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661248	47663590	-	47661248	47663504	2256	4	14.302	24.668	45.279	38.357	43.145	35.855	39.791	22.004	3.909483	5.347086	7.971904	8.154546	5.0073	6.580399	7.785008	5.500901	8	TRUE	35.8304	28.083	-7.7474	0.493932642303624	0.986792105355315	0.306332271866603	218	2256	Distal	NS	NS
ENSG00000005175.12_2_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661935	47663590	-	47661935	47663504	1569	4	16.103	46.557	54.721	19.699	56.855	64.145	60.209	56.569	4.401901	10.091692	9.63442	4.187822	6.598314	11.772255	11.779894	14.141765	8	TRUE	51.4954	39.127	-12.3684	0.4356936052982	0.965712062623953	0.36081881418425	218	2256	Intermediate	NS	NS
ENSG00000005175.12_3_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47662245	47663590	-	47662245	47663504	1259	4	30.702	0	0	41.944	0	0	0	0	8.39242	0	0	8.917083	0	0	0	0	2	TRUE	8.3888	10.234	1.8452	0.895046431976057	1	0.0481544343735556	218	2256	Intermediate	NS	NS
ENSG00000005175.12_4_P	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47663286	47663590	-	47663286	47663504	218	4	38.892	28.775	0	0	0	0	0	21.427	10.631281	6.237281	0	0	0	0	0	5.356697	3	TRUE	4.2854	22.5556666666667	18.2702666666667	0.252412334983679	0.952310198261302	0.597889425638483	218	2256	Proximal	NS	NS
ENSG00000006652.16_1_P	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112475749	+	112475519	112475749	230	2	42.059	0	18.226	0	0	0	0	0	13.152732	0	4.528715	0	0	0	0	0	2	TRUE	0	20.095	20.095	0.240687647700672	0.949470603797051	0.618546197523437	230	673	Proximal	NS	NS
ENSG00000006652.16_2_D	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112476192	+	112475519	112476192	673	2	57.941	100	81.774	100	100	100	100	100	18.119669	21.77304	20.31951	30.898938	21.542246	30.530422	33.110665	26.786066	8	TRUE	100	79.905	-20.095	0.240687647700672	0.949470603797051	0.618546197523437	230	673	Distal	NS	NS
ENSG00000010219.15_1_P	ENST00000010132,ENST00000543431	ENSG00000010219.15	DYRK4	chr12	4613511	4613875	+	4613753	4613875	122	3	97.625	97.823	94.603	97.693	98.653	98.227	99.14	98.642	23.781143	28.971027	13.558563	21.853175	27.467293	28.979893	26.781528	24.619317	8	TRUE	98.471	96.6836666666667	-1.78733333333334	0.224310190535738	0.942890048196625	0.649150995730869	122	122	Intermediate	NS	NS
ENSG00000008282.12_1_D	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106090503	106091939	-	106090503	106091804	1301	2	52.986	66.673	79.35	66.629	67.933	100	65.617	100	59.322981	67.543078	80.986194	71.073079	55.883262	68.805889	67.785766	64.67881	8	TRUE	80.0358	66.3363333333333	-13.6994666666667	0.268953833120949	0.955479169381235	0.570322261787735	110	1301	Distal	NS	NS
ENSG00000008282.12_2_P	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106091694	106091939	-	106091694	106091804	110	2	47.014	33.327	20.65	33.371	32.067	0	34.383	0	52.636014	33.762128	21.075296	35.596853	26.378473	0	35.519182	0	6	TRUE	19.9642	33.6636666666667	13.6994666666667	0.26895383312095	0.955479169381235	0.570322261787734	110	1301	Proximal	NS	NS
ENSG00000017797.15_4_D	ENST00000019317	ENSG00000017797.15	RALBP1	chr18	9535670	9538114	+	9535937	9538114	2177	4	11.105	16.327	15.823	12.06	14.389	12.962	15.246	8.186	7.665841	10.031355	9.74953	7.650822	8.557367	8.106767	9.839106	5.213995	8	TRUE	12.5686	14.4183333333333	1.84973333333333	0.419592367357787	0.958982962316213	0.37717242048931	288	2177	Distal	NS	NS
ENSG00000017797.15_1_P	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9536225	+	9535937	9536225	288	4	27.362	19.985	18.529	21.645	21.32	10.715	24.711	26.409	18.888215	12.278896	11.417069	13.732126	12.679859	6.70163	15.947356	16.82201	8	TRUE	20.96	21.9586666666667	0.998666666666665	0.805811734428863	1	0.0937664125984264	288	2177	Proximal	NS	NS
ENSG00000017797.15_3_D	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9537603	+	9535937	9537603	1666	4	61.533	63.689	65.648	66.295	64.291	76.322	60.042	65.405	42.477297	39.131054	40.449519	42.058554	38.236005	47.733633	38.748167	41.661856	8	TRUE	66.471	63.6233333333333	-2.84766666666667	0.374326026898795	0.958982962316213	0.42674997532865	288	2177	Intermediate	NS	NS
ENSG00000022277.15_1_P	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56518887	+	56518265	56518887	622	2	99.147	99.317	98.847	98.498	97.902	98.918	98.747	99.257	88.099828	90.81792	97.249197	98.280789	90.404115	98.725212	103.788744	101.206496	8	TRUE	98.6644	99.1036666666667	0.439266666666668	0.149941044559332	0.939309713710705	0.82407946798121	622	1184	Proximal	NS	NS
ENSG00000022277.15_2_D	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56519449	+	56518265	56519449	1184	2	0.853	0.683	1.153	1.502	2.098	1.082	1.253	0.743	0.757635	0.624095	1.134047	1.498315	1.937327	1.079863	1.316757	0.758044	5	TRUE	1.3356	0.896333333333333	-0.439266666666667	0.149941044559333	0.939309713710705	0.824079467981209	622	1184	Distal	NS	NS
ENSG00000022567.12_1_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141207165	141212556	-	141207165	141211441	4276	3	43.67	58.173	42.385	100	65.552	77.719	47.621	49.568	2.094341	2.367491	2.366178	3.070292	3.013326	3.495758	2.725511	2.571076	8	TRUE	68.092	48.076	-20.016	0.120074301239213	0.937708099030191	0.920549932016394	744	4276	Distal	NS	NS
ENSG00000022567.12_3_P	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141210697	141212556	-	141210697	141211441	744	3	56.33	41.827	57.615	0	34.448	22.281	52.379	50.432	2.701531	1.702243	3.216424	0	1.583519	1.002205	2.997786	2.615919	7	TRUE	31.908	51.924	20.016	0.120074301239213	0.937708099030191	0.920549932016394	744	4276	Proximal	NS	NS
ENSG00000027847.16_3_D	ENST00000029410,ENST00000966181	ENSG00000027847.16	B4GALT7	chr5	177609539	177610347	+	177609695	177610347	652	3	70.701	100	34.921	100	100	100	100	100	12.475576	13.268591	5.973957	20.000774	17.597368	15.035911	14.029401	18.693985	8	TRUE	100	68.5406666666667	-31.4593333333333	0.236527963060208	0.943790769523835	0.626117508267164	652	652	Intermediate	NS	NS
ENSG00000031003.13_1_D	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137937959	137940348	-	137937959	137940224	2265	4	46.436	44.859	100	40.882	69.05	59.067	67.345	37.845	13.70234	9.115853	15.919235	13.484578	9.180077	9.931149	11.653818	12.619247	8	TRUE	54.8378	63.765	8.9272	0.680013305901371	1	0.167482589318755	53	2265	Distal	NS	NS
ENSG00000031003.13_2_D	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137938683	137940348	-	137938683	137940224	1541	4	0	32.358	0	13.516	30.95	40.933	32.655	10.223	0	6.57551	0	4.458059	4.114774	6.882169	5.650955	3.408848	6	TRUE	25.6554	10.786	-14.8694	0.307471804726221	0.957915498502968	0.512194703021048	53	2265	Intermediate	NS	NS
ENSG00000031003.13_4_P	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137940171	137940348	-	137940171	137940224	53	4	53.564	0	0	45.602	0	0	0	51.932	15.805462	0	0	15.04139	0	0	0	17.31664	3	TRUE	19.5068	17.8546666666667	-1.65213333333333	0.942616578409097	1	0.0256649262904988	53	2265	Proximal	NS	NS
ENSG00000031823.16_1_D	ENST00000034275	ENSG00000031823.16	RANBP3	chr19	5916138	5917653	-	5916138	5917609	1471	2	43.435	36.692	37.463	56.968	36.478	47.442	43.585	33.573	37.161775	38.383349	35.305086	39.318544	37.090452	40.765226	37.310279	39.754546	8	TRUE	43.6092	39.1966666666667	-4.41253333333334	0.383314842423682	0.958982962316213	0.416444364001836	288	1471	Distal	NS	NS
ENSG00000031823.16_2_P	ENST00000034275	ENSG00000031823.16	RANBP3	chr19	5917321	5917653	-	5917321	5917609	288	2	56.565	63.308	62.537	43.032	63.522	52.558	56.415	66.427	48.394689	66.227231	58.935781	29.700055	64.589172	45.161269	48.29224	78.65924	8	TRUE	56.3908	60.8033333333333	4.41253333333334	0.383314842423681	0.958982962316213	0.416444364001836	288	1471	Proximal	NS	NS
ENSG00000035141.12_1_D	ENST00000037869,ENST00001074105,ENST00001137611,ENST00000910310	ENSG00000035141.12	FAM136A	chr2	70295975	70297507	-	70295975	70297288	1313	3	34.952	39.334	39.205	36.003	32.795	44.913	35.411	34.359	107.777177	110.673988	111.733873	116.790375	102.149528	119.440084	125.693276	119.972287	8	TRUE	36.6962	37.8303333333333	1.13413333333334	0.674117558686357	1	0.171264360680106	19	1313	Distal	NS	NS
ENSG00000035141.12_3_P	ENST00000037869,ENST00001074105,ENST00001137611,ENST00000910310	ENSG00000035141.12	FAM136A	chr2	70297269	70297507	-	70297269	70297288	19	3	65.048	60.666	60.795	63.997	67.205	55.087	64.589	65.641	200.582854	170.698833	173.26683	207.596695	209.333447	146.494351	229.258741	229.204068	8	TRUE	63.3038	62.1696666666667	-1.13413333333334	0.674117558686357	1	0.171264360680106	19	1313	Proximal	NS	NS
ENSG00000037757.16_1_P	ENST00000040663	ENSG00000037757.16	MRI1	chr19	13772120	13772866	+	13772281	13772866	585	2	26.233	28.686	0	10.629	34.013	37.279	19.14	32.62	20.435443	20.492652	0	6.883522	23.382449	24.8289	12.863334	24.400028	7	TRUE	26.7362	18.3063333333333	-8.42986666666667	0.476169568218186	0.981131795032951	0.322238363608234	585	2001	Proximal	NS	NS
ENSG00000037757.16_2_D	ENST00000040663	ENSG00000037757.16	MRI1	chr19	13772120	13774282	+	13772281	13774282	2001	2	73.767	71.314	100	89.371	65.987	62.721	80.86	67.38	57.462991	50.945437	55.591389	57.87978	45.363315	41.774247	54.342733	50.399729	8	TRUE	73.2638	81.6936666666667	8.42986666666665	0.476169568218187	0.981131795032951	0.322238363608234	585	2001	Distal	NS	NS
ENSG00000059588.12_1_D	ENST00000040877,ENST00001046691,ENST00001145908	ENSG00000059588.12	TARBP1	chr1	234391312	234391745	-	234391312	234391576	264	2	100	13.57	100	34.44	7.853	100	30.951	0	23.584178	2.064085	19.226224	9.461501	2.32751	18.873153	9.294158	0	7	TRUE	34.6488	71.19	36.5412	0.347537454991459	0.958982962316213	0.458998383535628	199	264	Distal	NS	NS
ENSG00000059588.12_2_P	ENST00000040877,ENST00001046691,ENST00001145908	ENSG00000059588.12	TARBP1	chr1	234391377	234391745	-	234391377	234391576	199	2	0	86.43	0	65.56	92.147	0	69.049	100	0	13.146214	0	18.011017	27.311606	0	20.734474	30.862004	5	TRUE	65.3512	28.81	-36.5412	0.347537454991459	0.958982962316213	0.458998383535628	199	264	Proximal	NS	NS
ENSG00000041357.18_2_D	ENST00000044462	ENSG00000041357.18	PSMA4	chr15	78548789	78549262	+	78548944	78549262	318	2	2.052	0.884	3.809	0	1.527	1.957	2.104	2.979	12.027653	5.915525	22.348295	0	9.532381	13.104051	14.051179	18.829706	7	TRUE	1.7134	2.24833333333333	0.534933333333333	0.619602501338478	1	0.20788683766024	288	318	Distal	NS	NS
ENSG00000041357.18_1_P	ENST00000044462,ENST00000558341,ENST00000559082,ENST00000992531,ENST00001062648,ENST00001062652,ENST00001062661,ENST00001136214,ENST00000992532	ENSG00000041357.18	PSMA4	chr15	78548789	78549232	+	78548944	78549232	288	2	97.948	99.116	96.191	100	98.473	98.043	97.896	97.021	573.9781	663.097637	564.302196	630.617826	614.91998	656.388096	653.921384	613.35158	8	TRUE	98.2866	97.7516666666667	-0.534933333333342	0.619602501338473	1	0.207886837660244	288	318	Proximal	NS	NS
ENSG00000047932.16_1_D	ENST00000052569	ENSG00000047932.16	GOPC	chr6	117560268	117563384	-	117560268	117563253	2985	2	100	77.798	78.597	91.858	87.644	83.237	85.01	79.195	68.53546	58.835258	67.899949	40.732861	33.442813	38.924227	37.339299	29.220758	8	TRUE	85.3888	85.465	0.0762	0.992764785707038	1	0.00315363606648777	1577	2985	Distal	NS	NS
ENSG00000047932.16_2_P	ENST00000052569	ENSG00000047932.16	GOPC	chr6	117561676	117563384	-	117561676	117563253	1577	2	0	22.202	21.403	8.142	12.356	16.763	14.99	20.805	0	16.790736	18.49001	3.610288	4.714694	7.839001	6.584111	7.676303	7	TRUE	14.6112	14.535	-0.0762	0.992764785707038	1	0.00315363606648777	1577	2985	Proximal	NS	NS
ENSG00000048544.9_1_S	ENST00000053468,ENST00000997264	ENSG00000048544.9	MRPS10	chr6	42206800	42208394	-	42206800	42208250	1450	2	100	100	100	100	100	100	100	100	41.077747	40.813261	40.300656	52.419444	40.298373	43.596521	44.836583	48.266536	8	TRUE	100	100	0	1	1	0	1450	1595	Proximal	NS	NS
ENSG00000049449.12_1_S	ENST00000054950	ENSG00000049449.12	RCN1	chr11	32104364	32105718	+	32104472	32105718	1246	2	100	NA	100	100	100	100	100	NA	2.016868	0	5.248694	0.967061	0.648671	2.114598	2.470359	0	4	TRUE	100	100	0	1	1	0	1072	1246	Distal	NS	NS
ENSG00000049541.13_1_D	ENST00000055077,ENST00001065366,ENST00001142870	ENSG00000049541.13	RFC2	chr7	74231498	74232216	-	74231498	74232088	590	2	13.51	13.801	12.331	22.524	14.081	20.862	17.01	12.45	8.034773	8.854875	8.91811	15.357791	8.871284	12.450149	11.564348	7.13766	8	TRUE	17.3854	13.214	-4.1714	0.0955317459234626	0.895520699470023	1.01985228508271	425	590	Distal	NS	NS
ENSG00000049541.13_2_P	ENST00000055077,ENST00001065366,ENST00001142870	ENSG00000049541.13	RFC2	chr7	74231663	74232216	-	74231663	74232088	425	2	86.49	86.199	87.669	77.476	85.919	79.138	82.99	87.55	51.438693	55.308208	63.404594	52.825633	54.131533	47.227109	56.419858	50.19388	8	TRUE	82.6146	86.786	4.17140000000001	0.0955317459234622	0.895520699470023	1.01985228508271	425	590	Proximal	NS	NS
ENSG00000050030.17_1_D	ENST00000055682,ENST00000642681	ENSG00000050030.17	NEXMIF	chrX	74732855	74744477	-	74732855	74739404	6549	2	100	15.886	33.185	35.057	44.323	14.023	43.285	43.625	2.236043	0.355336	0.89302	2.845267	2.777191	1.073613	2.954433	2.847516	6	TRUE	36.0626	49.6903333333333	13.6277333333333	0.651535350770155	1	0.186062015518699	5834	6549	Distal	NS	NS
ENSG00000050030.17_2_P	ENST00000055682,ENST00000642681	ENSG00000050030.17	NEXMIF	chrX	74733570	74744477	-	74733570	74739404	5834	2	0	84.114	66.815	64.943	55.677	85.977	56.715	56.375	0	1.881499	1.798025	5.270764	3.488586	6.582454	3.8711	3.679672	7	TRUE	63.9374	50.3096666666667	-13.6277333333333	0.651535350770155	1	0.186062015518699	5834	6549	Proximal	NS	NS
ENSG00000050344.11_1_S	ENST00000056233	ENSG00000050344.11	NFE2L3	chr7	26184532	26187125	+	26185783	26187125	1342	2	100	100	100	100	100	100	100	100	1.316987	1.191866	0.8675	2.516234	1.400557	1.966678	0.647863	0.837652	5	TRUE	100	100	0	1	1	0	510	1342	Distal	NS	NS
ENSG00000052723.14_1_D	ENST00000060969	ENSG00000052723.14	SIKE1	chr1	114769478	114774372	-	114769478	114774270	4792	3	100	100	100	100	100	88.02	88.683	83.537	31.997847	33.177132	33.934952	39.310447	31.688312	35.855363	32.432827	30.080633	8	TRUE	92.048	100	7.952	0.0773918283331771	0.866904270667144	1.11130489328564	1496	4792	Distal	NS	NS
ENSG00000052723.14_3_P	ENST00000060969	ENSG00000052723.14	SIKE1	chr1	114772774	114774372	-	114772774	114774270	1496	3	0	0	0	0	0	11.98	11.317	16.463	0	0	0	0	0	4.880136	4.138726	5.928266	3	TRUE	7.952	0	-7.952	0.0773918283331771	0.866904270667144	1.11130489328564	1496	4792	Proximal	NS	NS
ENSG00000054967.15_2_D	ENST00000064780	ENSG00000054967.15	RELT	chr11	73395443	73397003	+	73395491	73397003	1512	3	21.263	26.879	0	22.227	21.372	18.371	31.225	36.876	3.699898	3.544256	0	3.45536	2.664026	2.953712	4.722605	5.550661	7	TRUE	26.0142	16.0473333333333	-9.96686666666666	0.350808594384746	0.958982962316213	0.454929775488011	1149	1983	Intermediate	NS	NS
ENSG00000054967.15_3_D	ENST00000064780	ENSG00000054967.15	RELT	chr11	73395443	73397474	+	73395491	73397474	1983	3	12.884	16.19	41.979	14.647	22.043	26.668	13.894	16.516	2.241802	2.134839	5.81939	2.276969	2.747761	4.287902	2.10145	2.486087	8	TRUE	18.7536	23.6843333333333	4.93073333333334	0.650169111304343	1	0.186973667120316	1149	1983	Distal	NS	NS
ENSG00000054967.15_1_P	ENST00000064780,ENST00000857846	ENSG00000054967.15	RELT	chr11	73395443	73396640	+	73395491	73396640	1149	3	65.853	56.93	58.021	63.126	56.585	54.961	54.881	46.607	11.458808	7.506739	8.043295	9.813249	7.053521	8.836945	8.300462	7.01543	8	TRUE	55.232	60.268	5.036	0.246947189793159	0.950626454059008	0.607395911653752	1149	1983	Proximal	NS	NS
ENSG00000057294.20_1_D	ENST00000070846,ENST00000700559,ENST00000995885	ENSG00000057294.20	PKP2	chr12	32790744	32792492	-	32790744	32792278	1534	2	100	47.83	50.37	100	100	54.722	61.032	53.974	6.436311	4.1953	6.063273	8.550094	10.682969	10.649578	13.544434	11.44275	8	TRUE	73.9456	66.0666666666667	-7.87893333333334	0.71671848818239	1	0.14465139249986	185	1534	Distal	NS	NS
ENSG00000057294.20_2_P	ENST00000070846,ENST00000700559,ENST00000995885	ENSG00000057294.20	PKP2	chr12	32792093	32792492	-	32792093	32792278	185	2	0	52.17	49.63	0	0	45.278	38.968	46.026	0	4.575932	5.974285	0	0	8.811515	8.647781	9.757748	5	TRUE	26.0544	33.9333333333333	7.87893333333334	0.71671848818239	1	0.14465139249986	185	1534	Proximal	NS	NS
ENSG00000088256.10_1_P	ENST00000078429	ENSG00000088256.10	GNA11	chr19	3120988	3121472	+	3121179	3121472	293	2	17.514	19.96	22.317	10.649	29.607	14.941	27.071	37.128	11.701206	12.70966	16.646177	6.520416	18.933115	9.529963	18.999697	31.969876	8	TRUE	23.8792	19.9303333333333	-3.94886666666667	0.473185707168638	0.979336446565223	0.324968381946765	293	2825	Proximal	NS	NS
ENSG00000088256.10_2_D	ENST00000078429	ENSG00000088256.10	GNA11	chr19	3120988	3124004	+	3121179	3124004	2825	2	82.486	80.04	77.683	89.351	70.393	85.059	72.929	62.872	55.111016	50.964715	57.942817	54.709069	45.015798	54.251894	51.184646	54.138249	8	TRUE	76.1208	80.0696666666667	3.94886666666667	0.473185707168638	0.979336446565223	0.324968381946766	293	2825	Distal	NS	NS
ENSG00000063180.11_1_D	ENST00000084798,ENST00000994960,ENST00001143204	ENSG00000063180.11	CA11	chr19	48637941	48638144	-	48637941	48638036	95	2	9.05	3.962	0	4.304	5.305	6.789	18.109	6.453	7.425956	3.628785	0	4.132062	3.145646	3.921864	8.145169	3.887942	7	TRUE	8.192	4.33733333333333	-3.85466666666667	0.335573680911284	0.958982962316213	0.474212108282025	22	95	Distal	NS	NS
ENSG00000063180.11_2_P	ENST00000084798,ENST00000994960,ENST00001143204	ENSG00000063180.11	CA11	chr19	48638014	48638144	-	48638014	48638036	22	2	90.95	96.038	100	95.696	94.695	93.211	81.891	93.547	74.62579	87.970546	10.580111	91.874596	56.152498	53.845214	36.832813	56.357815	8	TRUE	91.808	95.6626666666667	3.85466666666667	0.335573680911283	0.958982962316213	0.474212108282027	22	95	Proximal	NS	NS
ENSG00000063245.17_2_D	ENST00000085079,ENST00001127923	ENSG00000063245.17	EPN1	chr19	55695147	55709089	+	55695356	55709089	13733	3	0	1.255	2.214	1.658	1.39	1.57	1.177	1.02	0	1.377342	2.122654	1.835221	1.66784	1.953844	1.352635	1.316442	7	TRUE	1.363	1.15633333333333	-0.206666666666667	0.779542828508684	1	0.108160019443673	419	13733	Distal	NS	NS
ENSG00000063245.17_1_P	ENST00000085079,ENST00001127923,ENST00000953604	ENSG00000063245.17	EPN1	chr19	55695147	55695775	+	55695356	55695775	419	3	98.428	98.434	97.786	97.533	98.106	97.88	98.508	98.611	110.997744	108.035957	93.742301	107.973197	117.696113	121.834248	113.246047	127.327397	8	TRUE	98.1276	98.216	0.0883999999999929	0.774991651211953	1	0.110702976012541	419	13733	Proximal	NS	NS
ENSG00000021776.13_1_D	ENST00000156471	ENSG00000021776.13	AQR	chr15	34851781	34857106	-	34851781	34856791	5010	3	15.405	13.711	18.318	17.254	13.99	15.11	14.629	13.388	6.793165	7.665072	8.867627	9.025021	7.467721	8.478326	7.566993	7.005223	8	TRUE	14.8742	15.8113333333333	0.937133333333334	0.576321688294677	1	0.239335036622936	292	5010	Distal	NS	NS
ENSG00000021776.13_2_D	ENST00000156471	ENSG00000021776.13	AQR	chr15	34856350	34857106	-	34856350	34856791	441	3	0	19.041	0	0	12.606	0	0	9.822	0	10.645163	0	0	6.729018	0	0	5.139398	3	TRUE	4.4856	6.347	1.8614	0.806852051736268	1	0.0932060922978375	292	5010	Intermediate	NS	NS
