APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	K263E_Rep1.PAU	K263E_Rep2.PAU	K263E_Rep3.PAU	WT_Rep1.PAU	WT_Rep2.PAU	WT_Rep3.PAU	K263E_Rep1.TPM	K263E_Rep2.TPM	K263E_Rep3.TPM	WT_Rep1.TPM	WT_Rep2.TPM	WT_Rep3.TPM	Site	TPM_pass_n	Expression_Pass	WT_mean_PAU	K263E_mean_PAU	DeltaPAU	P_value	FDR	APA_direction	Mechanistic_category
ENSG00000001626.20_1_S	ENST00000003084	ENSG00000001626.20	CFTR	chr7	117666907	117668665	+	117667108	117668665	1557	1	NA	NA	NA	NA	100	NA	0	0	0	0	0.073453	0	S	0	FALSE	100	NA	NA	NA	NA	NS	NS
ENSG00000048028.14_1_S	ENST00000003302,ENST00001045328,ENST00001070195	ENSG00000048028.14	USP28	chr11	113797873	113799415	-	113797873	113799239	1366	1	100	100	100	100	100	100	13.034949	13.549671	14.851937	15.417912	13.001551	12.411664	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000001460.20_1_S	ENST00000003583	ENSG00000001460.20	STPG1	chr1	24356998	24358619	-	24356998	24358542	1544	1	100	100	100	100	100	100	8.961812	8.306849	7.425695	8.363044	8.50403	6.211522	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000001461.21_2_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476647	+	24469185	24476647	7462	3	29.28	19.454	22.442	0	27.474	19.91	4.732582	2.920033	3.695553	0	4.252905	2.932745	D	5	TRUE	15.7946666666667	23.7253333333333	7.93066666666667	0.441025079555524	1	NS	NS
ENSG00000001461.21_3_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476735	+	24469185	24476735	7550	3	0	0	0	24.188	0	0	0	0	0	3.692645	0	0	D	1	FALSE	8.06266666666667	0	-8.06266666666667	NA	NA	NS	NS
ENSG00000001461.21_1_P	ENST00000003912,ENST00001128149	ENSG00000001461.21	NIPAL3	chr1	24468985	24475252	+	24474233	24475252	1019	3	70.72	80.546	77.558	75.812	72.526	80.09	11.430531	12.090146	12.771288	11.573812	11.226714	11.797634	P	6	TRUE	76.1426666666667	76.2746666666667	0.132000000000005	0.972938584032172	1	NS	NS
ENSG00000002933.11_1_S	ENST00000004103,ENST00001001463,ENST00001001471,ENST00001001475,ENST00001103697,ENST00001103698,ENST00001103701,ENST00001142474,ENST00001103699,ENST00001116934	ENSG00000002933.11	TMEM176A	chr7	150804826	150805119	+	150804995	150805119	124	1	100	100	100	100	100	100	1.776852	11.017214	7.841232	9.134725	5.623752	4.630264	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000003989.20_2_D	ENST00000004531	ENSG00000003989.20	SLC7A2	chr8	17564949	17570568	+	17565146	17570568	5422	2	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000003989.20_1_P	ENST00000004531,ENST00001125770	ENSG00000003989.20	SLC7A2	chr8	17564949	17570518	+	17565146	17570518	5372	2	100	100	100	100	100	100	0.08814	0.241713	0.380159	0.119473	0.090824	0.187894	P	0	FALSE	100	100	0	NA	NA	NS	NS
ENSG00000004776.15_1_S	ENST00000004982	ENSG00000004776.15	HSPB6	chr19	35754568	35755683	-	35754568	35755521	953	1	100	100	100	100	100	100	0.599679	0.952325	2.019562	0.472339	0.837898	1.02647	S	2	TRUE	100	100	0	1	1	NS	NS
ENSG00000004799.10_1_S	ENST00000005178	ENSG00000004799.10	PDK4	chr7	95583502	95585781	-	95583502	95585640	2138	1	100	100	100	100	100	100	0.867691	1.002044	0.996964	0.476393	0.650955	0.646142	S	1	FALSE	100	100	0	NA	NA	NS	NS
ENSG00000006606.10_1_S	ENST00000005180	ENSG00000006606.10	CCL26	chr7	75769532	75769789	-	75769532	75769692	160	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000006611.19_1_S	ENST00000005226,ENST00000318024,ENST00000957656,ENST00000976219,ENST00001047962,ENST00001047964,ENST00001139894,ENST00001139895	ENSG00000006611.19	USH1C	chr11	17493894	17494376	-	17493894	17494065	171	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000006451.10_1_S	ENST00000005257,ENST00001125900,ENST00001143339	ENSG00000006451.10	RALA	chr7	39706122	39708124	+	39706245	39708124	1879	1	100	100	100	100	100	100	75.263712	86.965392	92.063231	89.22195	97.055421	89.748124	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000006453.16_1_S	ENST00000005260,ENST00001065567,ENST00001141367	ENSG00000006453.16	BAIAP2L1	chr7	98291649	98293596	-	98291649	98293520	1871	1	100	100	100	100	100	100	0.644376	1.463733	0.754913	1.004716	1.382544	1.693303	S	4	TRUE	100	100	0	1	1	NS	NS
ENSG00000006116.6_1_S	ENST00000005284,ENST00001100821	ENSG00000006116.6	CACNG3	chr16	24361351	24362408	+	24361978	24362408	430	1	100	100	100	100	100	100	9.316981	16.845755	17.990784	11.379032	11.32535	16.82561	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000006625.20_1_S	ENST00000005374,ENST00000275428,ENST00000409390,ENST00000912164,ENST00001082390	ENSG00000006625.20	GGCT	chr7	30496620	30498938	-	30496620	30497091	471	1	100	100	100	100	100	100	22.458654	20.397281	21.187473	22.150756	20.427425	21.613843	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000005175.12_1_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661248	47663590	-	47661248	47663504	2256	4	100	100	75.056	100	100	100	47.621055	44.424091	42.6568	41.756594	49.221532	37.876083	D	6	TRUE	100	91.6853333333333	-8.31466666666667	0.422649730810374	1	NS	NS
ENSG00000005175.12_2_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661935	47663590	-	47661935	47663504	1569	4	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000005175.12_3_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47662245	47663590	-	47662245	47663504	1259	4	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000005175.12_4_P	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47663286	47663590	-	47663286	47663504	218	4	0	0	24.944	0	0	0	0	0	14.176172	0	0	0	P	1	FALSE	0	8.31466666666667	8.31466666666667	NA	NA	NS	NS
ENSG00000006652.16_1_P	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112475749	+	112475519	112475749	230	2	0	0	0	0	0	0	0	0	0	0	0	0	P	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000006652.16_2_D	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112476192	+	112475519	112476192	673	2	100	100	100	100	100	100	161.095156	190.391992	171.838748	155.483204	152.441846	169.411167	D	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000007001.16_1_P	ENST00000005756	ENSG00000007001.16	UPP2	chr2	158134747	158135966	+	158134890	158135966	1076	2	100	100	79.657	0	0	0	1.896268	2.671761	1.792813	0	0	0	P	3	TRUE	0	93.219	93.219	0.00524986475518825	1	Shortening	Proximal increased
ENSG00000007001.16_2_D	ENST00000005756	ENSG00000007001.16	UPP2	chr2	158134747	158136154	+	158134890	158136154	1264	2	0	0	20.343	100	100	100	0	0	0.457863	1.105341	0.841086	1.501899	D	2	TRUE	100	6.781	-93.219	0.00524986475518825	1	Shortening	Distal decreased
ENSG00000007038.13_1_S	ENST00000005995,ENST00001010660,ENST00001101588,ENST00001101589,ENST00001101590,ENST00001101591,ENST00001140273	ENSG00000007038.13	PRSS21	chr16	2821365	2821719	+	2821605	2821719	114	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000005073.7_1_S	ENST00000006015	ENSG00000005073.7	HOXA11	chr7	27181514	27183028	-	27181514	27182795	1281	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000006210.8_1_P	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57383033	+	57383032	57383033	1	3	0	0	0	0	0	0	0	0	0	0	0	0	P	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000006210.8_2_D	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57383358	+	57383032	57383358	326	3	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000006210.8_3_D	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57385048	+	57383032	57385048	2016	3	100	100	100	100	100	100	14.186994	11.294603	10.584922	14.615424	14.311335	11.62354	D	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000186654.23_1_S	ENST00000006251,ENST00001050327,ENST00001123079	ENSG00000186654.23	PRR5	chr22	44736771	44737681	+	44737247	44737681	434	1	100	100	100	100	100	100	63.07879	47.719645	44.716326	60.736536	57.120985	48.195071	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000007255.12_1_S	ENST00000006275,ENST00000977375,ENST00001142961,ENST00001084578	ENSG00000007255.12	TRAPPC6A	chr19	45162952	45164009	-	45162952	45163191	239	1	100	100	100	100	100	100	2.63506	3.169336	3.342777	3.367963	1.96774	2.830055	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000006282.24_1_S	ENST00000006658	ENSG00000006282.24	SPATA20	chr17	50555491	50555852	+	50555662	50555852	190	1	100	100	100	100	100	100	92.654721	86.547563	98.944174	97.51057	84.529669	63.915286	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000007376.10_1_S	ENST00000007264,ENST00000985050,ENST00000985051	ENSG00000007376.10	RPUSD1	chr16	784973	786377	-	784973	785949	976	1	100	100	100	100	100	100	48.626668	49.282318	47.769012	50.414342	46.54824	44.193307	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000004777.20_1_S	ENST00000007510,ENST00000378944	ENSG00000004777.20	ARHGAP33	chr19	35787167	35788822	+	35788429	35788822	393	1	100	100	100	100	100	100	190.074774	170.819382	161.920052	205.00142	171.706786	178.143438	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000008517.21_2_D	ENST00000008180	ENSG00000008517.21	IL32	chr16	3068989	3069667	+	3069355	3069667	312	2	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000008517.21_1_P	ENST00000008180,ENST00001104469,ENST00001104470,ENST00001104471,ENST00001140899,ENST00000396887	ENSG00000008517.21	IL32	chr16	3068989	3069551	+	3069355	3069551	196	2	100	100	100	100	100	100	0.411136	0.372432	0.379692	1.729958	1.664116	0.390041	P	2	TRUE	100	100	0	1	1	NS	NS
ENSG00000008438.6_1_S	ENST00000008938,ENST00001103639,ENST00001141945	ENSG00000008438.6	PGLYRP1	chr19	46019152	46019419	-	46019152	46019226	74	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000010278.17_1_S	ENST00000009180,ENST00001124095	ENSG00000010278.17	CD9	chr12	6237762	6238271	+	6237974	6238271	297	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000010219.15_1_P	ENST00000010132,ENST00000543431	ENSG00000010219.15	DYRK4	chr12	4613511	4613875	+	4613753	4613875	122	3	94.612	95.968	93.998	94.708	94.794	95.379	39.827273	59.112072	32.788108	28.438595	34.653332	39.334044	P	6	TRUE	94.9603333333333	94.8593333333333	-0.100999999999999	0.882582797801288	1	NS	NS
ENSG00000010219.15_2_D	ENST00000010132,ENST00001135047	ENSG00000010219.15	DYRK4	chr12	4613511	4614051	+	4613753	4614051	298	3	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000010219.15_3_D	ENST00000010132,ENST00001135047	ENSG00000010219.15	DYRK4	chr12	4613511	4615302	+	4613753	4615302	1549	3	5.388	4.032	6.002	5.292	5.206	4.621	2.268049	2.48351	2.093779	1.589164	1.903288	1.905791	D	6	TRUE	5.03966666666667	5.14066666666667	0.100999999999999	0.882582797801288	1	NS	NS
ENSG00000008282.12_1_D	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106090503	106091939	-	106090503	106091804	1301	2	71.835	48.777	100	100	100	100	11.074116	11.596455	16.121458	5.864459	10.957291	9.249078	D	6	TRUE	100	73.5373333333333	-26.4626666666667	0.215906698626554	1	NS	NS
ENSG00000008282.12_2_P	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106091694	106091939	-	106091694	106091804	110	2	28.165	51.223	0	0	0	0	4.341894	12.177765	0	0	0	0	P	2	TRUE	0	26.4626666666667	26.4626666666667	0.215906698626554	1	NS	NS
ENSG00000010017.15_1_S	ENST00000011619	ENSG00000010017.15	RANBP9	chr6	13621497	13622492	-	13621497	13622361	864	1	100	100	100	100	100	100	89.983116	78.140923	100.038864	87.967062	95.890981	84.296068	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000010610.12_1_S	ENST00000011653	ENSG00000010610.12	CD4	chr12	6819298	6820807	+	6819329	6820807	1478	1	100	100	100	NA	NA	100	0.102867	0.654867	0.097366	0	0	0.097494	S	0	FALSE	100	100	0	NA	NA	NS	NS
ENSG00000008323.18_1_S	ENST00000011684	ENSG00000008323.18	PLEKHG6	chr12	6328135	6328506	+	6328145	6328506	361	1	NA	NA	NA	100	NA	NA	0	0	0	1.037885	0	0	S	1	FALSE	100	NA	NA	NA	NA	NS	NS
ENSG00000008324.14_1_S	ENST00000011691,ENST00001091336	ENSG00000008324.14	SS18L2	chr3	42594421	42594994	+	42594526	42594994	468	1	100	100	100	100	100	100	62.514084	69.833684	69.625087	60.029322	63.906372	71.152126	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000186115.15_1_S	ENST00000011989,ENST00000997165,ENST00001142942	ENSG00000186115.15	CYP4F2	chr19	15878022	15878936	-	15878022	15878770	748	1	NA	NA	100	NA	NA	NA	0	0	0.178873	0	0	0	S	0	FALSE	NA	100	NA	NA	NA	NS	NS
ENSG00000011478.14_1_S	ENST00000012049	ENSG00000011478.14	QPCTL	chr19	45702903	45703989	+	45703049	45703989	940	1	100	100	100	100	100	100	7.504821	4.576129	4.497037	6.724188	7.085462	7.74544	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000010818.13_1_S	ENST00000012134	ENSG00000010818.13	HIVEP2	chr6	142751466	142753931	-	142751466	142753106	1640	1	100	100	100	100	100	100	40.8042	40.086226	42.082279	37.092222	36.026078	40.648793	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000012963.17_1_S	ENST00000013070,ENST00001118729	ENSG00000012963.17	UBR7	chr14	93226942	93229215	+	93227035	93229215	2180	1	100	100	100	100	100	100	39.577371	38.226503	39.167295	37.151003	37.967734	45.704741	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000012983.14_1_S	ENST00000013125,ENST00001059165,ENST00001134075	ENSG00000012983.14	MAP4K5	chr14	50418500	50420106	-	50418500	50420018	1518	1	100	100	100	100	100	100	94.619083	99.314166	92.491866	98.77442	95.42076	83.231597	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000241644.3_1_P	ENST00000013222	ENSG00000241644.3	INMT	chr7	30755421	30757144	+	30755851	30757144	1293	2	0	0	0	100	0	100	0	0	0	0.487282	0	0.799027	P	0	FALSE	66.6666666666667	0	-66.6666666666667	NA	NA	NS	NS
ENSG00000241644.3_2_D	ENST00000013222	ENSG00000241644.3	INMT	chr7	30755421	30757602	+	30755851	30757602	1751	2	100	100	100	0	100	0	0.915668	0.383005	0.40134	0	0.392344	0	D	0	FALSE	33.3333333333333	100	66.6666666666667	NA	NA	NS	NS
ENSG00000013588.12_2_D	ENST00000014914	ENSG00000013588.12	GPRC5A	chr12	12912446	12917937	+	12912539	12917937	5398	2	0	11.021	7.207	0	NA	100	0	0.029706	0.030358	0	0	0.051254	D	0	FALSE	50	6.076	-43.924	NA	NA	NS	NS
ENSG00000013588.12_1_P	ENST00000014914,ENST00000907831	ENSG00000013588.12	GPRC5A	chr12	12912446	12913659	+	12912539	12913659	1120	2	100	88.979	92.793	100	NA	0	0.145521	0.239823	0.390869	0.301028	0	0	P	0	FALSE	50	93.924	43.924	NA	NA	NS	NS
ENSG00000071203.11_1_S	ENST00000016913	ENSG00000071203.11	MS4A12	chr11	60507019	60507430	+	60507124	60507430	306	1	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	S	0	FALSE	NA	NA	NA	NA	NA	NS	NS
ENSG00000015568.15_1_P	ENST00000016946	ENSG00000015568.15	RGPD5	chr2	109855861	109856688	+	109855896	109856688	792	2	NA	NA	NA	NA	0	NA	0	0	0	0	0	0	P	0	FALSE	0	NA	NA	NA	NA	NS	NS
ENSG00000015568.15_2_D	ENST00000016946	ENSG00000015568.15	RGPD5	chr2	109855861	109857693	+	109855896	109857693	1797	2	NA	NA	NA	NA	100	NA	0	0	0	0	33.049943	0	D	1	FALSE	100	NA	NA	NA	NA	NS	NS
ENSG00000015532.12_1_S	ENST00000017003,ENST00001125228,ENST00001137083	ENSG00000015532.12	XYLT2	chr17	50359968	50361151	+	50360291	50361151	860	1	100	100	100	100	100	100	10.617066	10.731156	13.750094	10.150562	8.982134	10.702545	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000017797.15_4_D	ENST00000019317	ENSG00000017797.15	RALBP1	chr18	9535670	9538114	+	9535937	9538114	2177	4	7.219	11.85	13.539	10.254	17.396	13.821	3.333008	5.771919	7.695341	4.813362	8.722062	8.470884	D	6	TRUE	13.8236666666667	10.8693333333333	-2.95433333333333	0.350747473099097	1	NS	NS
ENSG00000017797.15_1_P	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9536225	+	9535937	9536225	288	4	0	0	16.76	15.469	11.542	24.77	0	0	9.526532	7.261194	5.787003	15.181847	P	4	TRUE	17.2603333333333	5.58666666666667	-11.6736666666667	0.170606344011466	1	NS	NS
ENSG00000017797.15_2_D	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9537546	+	9535937	9537546	1609	4	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000017797.15_3_D	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9537603	+	9535937	9537603	1666	4	92.781	88.15	69.701	74.277	71.063	61.409	42.835743	42.935244	39.61814	34.866533	35.630255	37.637924	D	6	TRUE	68.9163333333333	83.544	14.6276666666667	0.163358730287712	1	NS	NS
ENSG00000019549.14_1_D	ENST00000020945	ENSG00000019549.14	SNAI2	chr8	48917603	48918988	-	48917603	48918806	1203	2	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
ENSG00000019549.14_2_P	ENST00000020945	ENSG00000019549.14	SNAI2	chr8	48917767	48918988	-	48917767	48918806	1039	2	100	100	100	100	100	100	2.229217	1.70007	1.487195	2.451594	1.528898	1.016828	P	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000078668.16_1_S	ENST00000022615,ENST00001092876,ENST00001092877,ENST00001092878,ENST00001092879,ENST00000919928	ENSG00000078668.16	VDAC3	chr8	42405370	42405897	+	42405462	42405897	435	1	100	100	100	100	100	100	338.008575	274.726893	297.230008	341.494781	320.332904	293.353037	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000021488.15_1_S	ENST00000023064,ENST00000990834,ENST00000990840,ENST00001135602	ENSG00000021488.15	SLC7A9	chr19	32830508	32830684	-	32830508	32830619	111	1	NA	NA	NA	NA	NA	100	0	0	0	0	0	12.471319	S	1	FALSE	100	NA	NA	NA	NA	NS	NS
ENSG00000022355.20_1_P	ENST00000023897	ENSG00000022355.20	GABRA1	chr5	161897110	161898976	+	161897422	161898976	1554	3	0	13.534	0	0	16.219	0	0	4.233867	0	0	4.386408	0	P	2	TRUE	5.40633333333333	4.51133333333333	-0.895	0.905176406829342	1	NS	NS
ENSG00000022355.20_2_D	ENST00000023897	ENSG00000022355.20	GABRA1	chr5	161897110	161899408	+	161897422	161899408	1986	3	52.823	36.545	39.291	63.581	31.85	61.74	18.782537	11.432642	14.03724	16.579668	8.613694	12.886508	D	6	TRUE	52.3903333333333	42.8863333333333	-9.504	0.469146904206278	1	NS	NS
ENSG00000022355.20_3_D	ENST00000023897	ENSG00000022355.20	GABRA1	chr5	161897110	161899959	+	161897422	161899959	2537	3	47.177	49.921	60.709	36.419	51.931	38.26	16.775132	15.616854	21.688882	9.496717	14.04468	7.98577	D	6	TRUE	42.2033333333333	52.6023333333333	10.399	0.181670837973455	1	NS	NS
ENSG00000022277.15_1_P	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56518887	+	56518265	56518887	622	2	100	99.719	99.68	99.653	99.335	99.527	141.443439	138.721835	128.83146	125.812788	134.56503	132.586567	P	6	TRUE	99.505	99.7996666666667	0.294666666666672	0.0980137802972915	1	NS	NS
ENSG00000022277.15_2_D	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56519449	+	56518265	56519449	1184	2	0	0.281	0.32	0.347	0.665	0.473	0	0.390929	0.414073	0.438312	0.900882	0.630303	D	0	FALSE	0.495	0.200333333333333	-0.294666666666667	NA	NA	NS	NS
ENSG00000022567.12_1_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141207165	141212556	-	141207165	141211441	4276	3	85.504	100	100	100	100	100	13.031302	14.009515	13.043548	13.458972	14.142979	14.590672	D	6	TRUE	100	95.168	-4.83199999999999	0.422649730810375	1	NS	NS
ENSG00000022567.12_2_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141210600	141212556	-	141210600	141211441	841	3	0	0	0	0	0	0	0	0	0	0	0	0	D	0	FALSE	0	0	0	NA	NA	NS	NS
