APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	A4_1.PAU	A4_2.PAU	A4_3.PAU	A4_4.PAU	A5_1.PAU	A5_2.PAU	A5_3.PAU	A5_4.PAU	WT_1.PAU	WT_2.PAU	WT_3.PAU	WT_4.PAU	A4_1.TPM	A4_2.TPM	A4_3.TPM	A4_4.TPM	A5_1.TPM	A5_2.TPM	A5_3.TPM	A5_4.TPM	WT_1.TPM	WT_2.TPM	WT_3.TPM	WT_4.TPM	TPM_pass_n	Expression_Pass	WT_mean_PAU	FUS_KO_mean_PAU	DeltaPAU	P_value	FDR	minus_log10_P	Min_Length	Max_Length	APA_Site	Mechanism	Four_Category
ENSG00000005175.12_1_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661248	47663590	-	47661248	47663504	2256	4	21.463	18.15	13.785	15.089	17.81	19.448	17.243	17.844	20.684	19.909	13.711	17.132	8.934931	6.957143	5.008842	4.323515	7.264438	7.696604	7.65854	9.272571	8.892743	9.339413	8.001584	9.18936	12	TRUE	17.859	17.604	-0.255000000000003	0.892496958549006	1	0.0493932552019139	1259	2256	Distal	NS	NS
ENSG00000005175.12_3_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47662245	47663590	-	47662245	47663504	1259	4	78.537	81.85	86.215	77.553	82.19	80.552	82.757	82.156	79.316	80.091	86.289	82.868	32.694507	31.374258	31.32592	22.22205	33.523365	31.879271	36.755712	42.692889	34.101095	37.571432	50.35656	44.44975	12	TRUE	82.141	81.47625	-0.664749999999984	0.732057024117157	0.982202595746099	0.135455087937731	1259	2256	Proximal	NS	NS
ENSG00000006652.16_2_D	ENST00000005558	ENSG00000006652.16	IFRD1	chr7	112475429	112476192	+	112475519	112476192	673	2	100	100	100	100	100	100	100	100	100	100	100	100	130.334389	117.144408	101.189299	80.173323	124.47375	119.172807	110.251867	119.799021	108.891691	107.192583	116.704327	132.438859	12	TRUE	100	100	0	1	1	0	673	673	Intermediate	NS	NS
ENSG00000006210.8_1_P	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57383033	+	57383032	57383033	1	3	0	12.375	9.746	17.034	14.476	6.885	14.417	17.555	0	6.653	14.362	26.133	0	1.049908	0.912336	2.292505	3.142859	1.722995	3.206254	3.931944	0	0.608773	1.028874	3.221971	8	TRUE	11.787	11.561	-0.225999999999999	0.971746586251082	1	0.0124469763719436	1	2016	Proximal	NS	NS
ENSG00000006210.8_3_D	ENST00000006053,ENST00000564948,ENST00000565912	ENSG00000006210.8	CX3CL1	chr16	57382029	57385048	+	57383032	57385048	2016	3	100	87.625	90.254	82.966	85.524	93.115	85.583	82.445	100	93.347	85.638	73.867	7.617555	7.434503	8.449189	11.166292	18.568222	23.302691	19.032758	18.466416	8.88874	8.541681	6.134807	9.10729	12	TRUE	88.213	88.439	0.225999999999999	0.971746586251082	1	0.0124469763719436	1	2016	Distal	NS	NS
ENSG00000008517.21_1_P	ENST00000008180,ENST00001104469,ENST00001104470,ENST00001104471,ENST00001140899,ENST00000396887	ENSG00000008517.21	IL32	chr16	3068989	3069551	+	3069355	3069551	196	2	100	100	100	100	100	94.239	99.291	94.121	100	100	100	97.732	2.468713	0.863896	1.908961	2.056455	18.438505	13.148258	22.011735	28.050256	1.327214	1.502911	6.058938	6.840022	11	TRUE	99.433	98.456375	-0.976624999999999	0.393674568104171	0.755650059084501	0.404862640299366	196	196	Intermediate	NS	NS
ENSG00000010219.15_1_P	ENST00000010132,ENST00000543431	ENSG00000010219.15	DYRK4	chr12	4613511	4613875	+	4613753	4613875	122	3	98.784	98.183	97.326	98.982	99.244	99.254	99.12	98.966	99.082	99.037	99.004	98.916	39.951348	50.430894	47.680691	48.887428	48.444927	45.181773	49.829614	52.547739	46.729257	47.167377	52.704412	46.555581	12	TRUE	99.00975	98.732375	-0.277374999999992	0.279086620867456	0.661241528515682	0.554260982654002	122	122	Intermediate	NS	NS
ENSG00000008282.12_1_D	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106090503	106091939	-	106090503	106091804	1301	2	100	95.457	100	100	100	100	100	100	100	100	100	90.116	319.706059	294.125191	256.789094	295.433846	311.759791	322.079887	300.080586	267.052878	124.337845	137.956116	128.567271	145.485904	12	TRUE	97.529	99.432125	1.903125	0.502522921957027	0.840360718527174	0.298844123653925	110	1301	Distal	NS	NS
ENSG00000008282.12_2_P	ENST00000011473	ENSG00000008282.12	SYPL1	chr7	106091694	106091939	-	106091694	106091804	110	2	0	4.543	0	0	0	0	0	0	0	0	0	9.884	0	13.997335	0	0	0	0	0	0	0	0	0	15.957435	2	TRUE	2.471	0.567875	-1.903125	0.502522921957027	0.840360718527174	0.298844123653925	110	1301	Proximal	NS	NS
ENSG00000013588.12_2_D	ENST00000014914	ENSG00000013588.12	GPRC5A	chr12	12912446	12917937	+	12912539	12917937	5398	2	100	100	100	68.292	100	100	100	61.698	33.255	56.793	100	100	1.046423	1.083925	1.152649	1.255318	2.15123	2.051139	1.905504	1.752246	0.270316	0.309055	0.366901	0.47945	8	TRUE	72.512	91.24875	18.73675	0.349729173396907	0.724781649859607	0.456268138589127	5398	5398	Intermediate	NS	NS
ENSG00000015568.15_2_D	ENST00000016946	ENSG00000015568.15	RGPD5	chr2	109855861	109857693	+	109855896	109857693	1797	2	NA	NA	NA	100	100	NA	NA	NA	NA	100	NA	NA	0	0	0	21.474695	29.889313	0	0	0	0	20.737372	0	0	3	TRUE	100	100	0	NA	NA	NA	1797	1797	Intermediate	NS	NS
ENSG00000017797.15_4_D	ENST00000019317	ENSG00000017797.15	RALBP1	chr18	9535670	9538114	+	9535937	9538114	2177	4	12.4	11.098	12.189	10.161	9.26	6.053	8.558	7.233	10.186	6.811	10.647	7.592	4.67014	4.077024	4.493642	4.744103	3.871064	3.728365	3.872901	3.372656	4.740764	3.575866	3.904874	4.123756	12	TRUE	8.809	9.619	0.81	0.534872475189535	0.866129642765339	0.271749750545572	288	2177	Distal	NS	NS
ENSG00000017797.15_1_P	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9536225	+	9535937	9536225	288	4	21.094	11.223	0	17.015	19.581	32.13	18.43	22.959	19.788	26.183	4.926	28.035	7.944199	4.123112	0	7.944028	8.185853	19.789434	8.340649	10.706021	9.209295	13.7468	1.806558	15.228684	11	TRUE	19.733	17.804	-1.929	0.766872534415173	1	0.115276816234194	288	2177	Proximal	NS	NS
ENSG00000017797.15_3_D	ENST00000019317,ENST00000922000	ENSG00000017797.15	RALBP1	chr18	9535670	9537603	+	9535937	9537603	1666	4	66.506	77.679	87.811	72.824	71.16	61.816	73.012	69.808	70.026	67.006	84.427	64.373	25.04717	28.536626	32.371741	34.000646	29.748726	38.073384	33.041544	32.552334	32.589716	35.180504	30.963968	34.967473	12	TRUE	71.458	72.577	1.119	0.839019544079077	1	0.0762279226196451	288	2177	Intermediate	NS	NS
ENSG00000019549.14_1_D	ENST00000020945	ENSG00000019549.14	SNAI2	chr8	48917603	48918988	-	48917603	48918806	1203	2	0	8.053	6.977	0	8.565	0	2.773	0	0	8.073	0	1.908	0	0.752636	1.666634	0	4.162321	0	1.878035	0	0	1.959121	0	0.604194	4	TRUE	2.49525	3.296	0.80075	0.745772798219533	0.989417930910292	0.127393461412631	1039	1203	Distal	NS	NS
ENSG00000019549.14_2_P	ENST00000020945	ENSG00000019549.14	SNAI2	chr8	48917767	48918988	-	48917767	48918806	1039	2	100	91.947	93.023	100	91.435	100	97.227	100	100	91.927	100	98.092	33.998347	8.593587	22.22042	14.230993	44.436918	45.405846	65.852945	39.839369	26.22125	22.308717	26.337572	31.056756	12	TRUE	97.50475	96.704	-0.800749999999994	0.745772798219535	0.989417930910292	0.127393461412629	1039	1203	Proximal	NS	NS
ENSG00000022277.15_1_P	ENST00000023939,ENST00000395881,ENST00000886933,ENST00000989055,ENST00001132749	ENSG00000022277.15	RTF2	chr20	56518086	56518887	+	56518265	56518887	622	2	99.553	99.575	99.639	99.096	99.562	99.474	99.614	99.386	99.517	99.491	99.778	99.379	74.708692	65.867498	84.446538	81.597724	69.234176	68.499973	70.147597	70.973222	78.51127	76.589429	84.805928	73.0045	12	TRUE	99.54125	99.487375	-0.053875000000005	0.625615823739763	0.923189121786214	0.203692275172069	622	622	Intermediate	NS	NS
ENSG00000022567.12_1_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141207165	141212556	-	141207165	141211441	4276	3	35.821	39.47	37.734	40.861	44.453	47.617	44.79	39.068	44.155	45.247	32.716	46.797	2.373842	3.432306	2.834171	4.469531	3.377364	4.244099	2.684857	2.60005	4.211617	4.681218	2.184657	5.147365	12	TRUE	42.22875	41.22675	-1.002	0.789176093282388	1	0.102826079416803	744	4276	Distal	NS	NS
ENSG00000022567.12_2_D	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141210600	141212556	-	141210600	141211441	841	3	0	60.53	62.266	0	55.547	52.383	0	0	55.845	54.753	67.284	53.203	0	5.263739	4.676761	0	4.220279	4.668809	0	0	5.326582	5.664796	4.49307	5.852063	8	TRUE	57.77125	28.84075	-28.9305	0.0345991539919936	0.246393393419958	1.46093452031418	744	4276	Intermediate	NS	NS
ENSG00000022567.12_3_P	ENST00000024061,ENST00000517878,ENST00000519067	ENSG00000022567.12	SLC45A4	chr8	141210697	141212556	-	141210697	141211441	744	3	64.179	0	0	59.139	0	0	55.21	60.932	0	0	0	0	4.253106	0	0	6.468775	0	0	3.30943	4.055195	0	0	0	0	4	TRUE	0	29.9325	29.9325	0.0335185941239643	0.243221376147363	1.47471420534632	744	4276	Proximal	Shortening	Proximal increased
ENSG00000027847.16_3_D	ENST00000029410,ENST00000966181	ENSG00000027847.16	B4GALT7	chr5	177609539	177610347	+	177609695	177610347	652	3	48.649	74.014	55.948	33.637	78.53	74.756	31.734	35.765	27.498	68.073	65.337	83.314	5.672224	11.140182	9.639436	7.037411	10.361429	14.490839	5.077364	5.576702	3.709854	7.819868	6.419382	9.009938	12	TRUE	61.0555	54.129125	-6.92637499999999	0.635286515151654	0.927747244198947	0.197030363077111	339	652	Distal	NS	NS
ENSG00000027847.16_1_P	ENST00000029410,ENST00000966181,ENST00000871350	ENSG00000027847.16	B4GALT7	chr5	177609539	177610034	+	177609695	177610034	339	3	26.072	25.986	19.569	33.816	21.47	25.244	32.683	21.98	19.663	31.927	34.663	16.686	3.039839	3.911169	3.371538	7.07498	2.832722	4.893339	5.229149	3.427228	2.652813	3.667558	3.405715	1.804467	12	TRUE	25.73475	25.8525	0.117750000000001	0.981587199959129	1	0.00807111350778735	339	652	Proximal	NS	NS
ENSG00000027847.16_2_D	ENST00000029410,ENST00000966181,ENST00000871350	ENSG00000027847.16	B4GALT7	chr5	177609539	177610275	+	177609695	177610275	580	3	25.279	0	24.483	32.547	0	0	35.583	42.256	52.839	0	0	0	2.947344	0	4.218312	6.809521	0	0	5.693044	6.588856	7.128778	0	0	0	6	TRUE	13.20975	20.0185	6.80875	0.662990720999944	0.94632341538677	0.178492549795411	339	652	Intermediate	NS	NS
ENSG00000031003.13_1_D	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137937959	137940348	-	137937959	137940224	2265	4	67.135	100	78.875	80.168	75.405	78.502	71.885	72.212	79.918	68.102	65.83	75.755	100.768826	127.568208	114.941334	109.456325	70.719262	83.739943	71.955744	67.637952	45.848826	58.010695	50.248236	63.37402	12	TRUE	72.40125	78.02275	5.6215	0.272080912778838	0.654043242137166	0.565301924098903	53	2265	Distal	NS	NS
ENSG00000031003.13_2_D	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137938683	137940348	-	137938683	137940224	1541	4	0	0	0	8.011	7.101	0	8.554	6.61	9.335	6.839	6.604	4.487	0	0	0	10.937876	6.659766	0	8.562285	6.191124	5.355735	5.825421	5.041051	3.753263	8	TRUE	6.81625	3.7845	-3.03175	0.114412075625245	0.437631212258172	0.94152813550243	53	2265	Intermediate	NS	NS
ENSG00000031003.13_3_D	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137939752	137940348	-	137939752	137940224	472	4	32.865	0	13.676	11.821	17.494	21.498	19.561	16.636	10.747	25.059	27.566	19.758	49.330502	0	19.929267	16.138927	16.406906	22.932927	19.580754	15.582027	6.165261	21.345937	21.04152	16.52875	11	TRUE	20.7825	16.693875	-4.088625	0.435410934580128	0.789351240860856	0.361100668615591	53	2265	Intermediate	NS	NS
ENSG00000031003.13_4_P	ENST00000033079	ENSG00000031003.13	FAM13B	chr5	137940171	137940348	-	137940171	137940224	53	4	0	0	7.449	0	0	0	0	4.542	0	0	0	0	0	0	10.854974	0	0	0	0	4.254089	0	0	0	0	2	TRUE	0	1.498875	1.498875	0.184767006305203	0.54475637234139	0.733375577806761	53	2265	Proximal	NS	NS
ENSG00000031823.16_1_D	ENST00000034275	ENSG00000031823.16	RANBP3	chr19	5916138	5917653	-	5916138	5917609	1471	2	100	100	100	100	100	100	100	100	100	100	100	100	9.401505	10.770666	11.025309	14.502877	9.303725	11.607257	10.395052	10.512025	14.619646	14.918764	13.045937	15.482373	12	TRUE	100	100	0	1	1	0	1471	1471	Intermediate	NS	NS
ENSG00000035141.12_1_D	ENST00000037869,ENST00001074105,ENST00001137611,ENST00000910310	ENSG00000035141.12	FAM136A	chr2	70295975	70297507	-	70295975	70297288	1313	3	59.562	41.64	47.414	39.481	40.67	38.34	44.272	40.172	38.971	39.939	37.618	35.433	110.514105	99.391045	87.304614	84.833959	81.601475	73.664788	78.48973	77.933804	85.727242	90.689179	86.364727	83.886388	12	TRUE	37.99025	43.943875	5.953625	0.0511612894877579	0.298855676611372	1.29105851793927	19	1313	Distal	NS	NS
ENSG00000035141.12_3_P	ENST00000037869,ENST00001074105,ENST00001137611,ENST00000910310	ENSG00000035141.12	FAM136A	chr2	70297269	70297507	-	70297269	70297288	19	3	40.438	58.36	52.586	60.519	59.33	61.66	55.728	59.828	61.029	60.061	62.382	64.567	75.029327	139.303054	96.829065	130.037764	119.040662	118.470249	98.800414	116.067585	134.248769	136.379672	143.217542	152.862774	12	TRUE	62.00975	56.056125	-5.953625	0.051161289487758	0.298855676611372	1.29105851793927	19	1313	Proximal	NS	NS
ENSG00000037757.16_1_P	ENST00000040663	ENSG00000037757.16	MRI1	chr19	13772120	13772866	+	13772281	13772866	585	2	30.555	28.307	25.671	35.211	34.474	31.58	24.853	40.939	27.12	33.169	19.547	32.088	4.664338	5.952089	3.926418	8.161004	6.089796	7.283792	4.344146	3.563588	5.076058	9.032343	2.098585	7.790365	12	TRUE	27.981	31.44875	3.46775	0.381522526892498	0.751912481571719	0.418479814153992	585	2001	Proximal	NS	NS
ENSG00000037757.16_2_D	ENST00000040663	ENSG00000037757.16	MRI1	chr19	13772120	13774282	+	13772281	13774282	2001	2	69.445	71.693	74.329	64.789	65.526	68.42	75.147	59.061	72.88	66.831	80.453	67.912	10.601174	15.075147	11.36881	15.016523	11.575149	15.780846	13.13513	5.141052	13.641209	18.199111	8.637291	16.487517	12	TRUE	72.019	68.55125	-3.46775000000001	0.381522526892496	0.751912481571719	0.418479814153993	585	2001	Distal	NS	NS
ENSG00000059588.12_1_D	ENST00000040877,ENST00001046691,ENST00001145908	ENSG00000059588.12	TARBP1	chr1	234391312	234391745	-	234391312	234391576	264	2	0	2.408	12.681	3.743	21.438	13.8	6.286	20.275	8.962	7.39	21.939	4.677	0	0.717752	4.082597	0.796478	4.199855	3.398446	1.935203	3.07072	2.724276	3.163666	4.656587	1.819978	9	TRUE	10.742	10.078875	-0.663124999999999	0.894405276885764	1	0.0484656471638144	199	264	Distal	NS	NS
ENSG00000059588.12_2_P	ENST00000040877,ENST00001046691,ENST00001145908	ENSG00000059588.12	TARBP1	chr1	234391377	234391745	-	234391377	234391576	199	2	100	97.592	87.319	96.257	78.562	86.2	93.714	79.725	91.038	92.61	78.061	95.323	27.936002	29.087901	28.110853	20.483406	15.390934	21.227092	28.852332	12.074476	27.673095	39.645744	16.568639	37.096359	12	TRUE	89.258	89.921125	0.663125000000008	0.894405276885762	1	0.048465647163815	199	264	Proximal	NS	NS
ENSG00000041357.18_2_D	ENST00000044462	ENSG00000041357.18	PSMA4	chr15	78548789	78549262	+	78548944	78549262	318	2	83.921	72.988	1.485	0.439	0.756	0.448	0	0.322	0.294	1.589	0.652	0.297	353.444467	259.008337	5.802743	1.511501	2.901677	1.407901	0	1.235058	1.204411	6.479868	3.260314	1.265561	11	TRUE	0.708	20.044875	19.336875	0.174344396993747	0.536072420039968	0.758592005235515	288	318	Distal	NS	NS
ENSG00000041357.18_1_P	ENST00000044462,ENST00000558341,ENST00000559082,ENST00000992531,ENST00001062648,ENST00001062652,ENST00001062661,ENST00001136214,ENST00000992532	ENSG00000041357.18	PSMA4	chr15	78548789	78549232	+	78548944	78549232	288	2	16.079	27.012	98.515	99.561	99.244	99.552	100	99.678	99.706	98.411	99.348	99.703	67.717707	95.85761	384.840814	343.107468	381.054761	313.122512	382.627742	382.283992	408.713296	401.385536	496.818811	424.508056	12	TRUE	99.292	79.955125	-19.336875	0.174344396993747	0.536072420039968	0.758592005235515	288	318	Proximal	NS	NS
ENSG00000043462.15_3_P	ENST00000046794	ENSG00000043462.15	LCP2	chr5	170248083	170248819	-	170248083	170248696	613	3	85.221	97.921	88.819	92.738	100	100	100	96.599	100	100	100	95.845	0.713827	1.388688	1.700462	0.917025	0.288596	0.635168	0.445472	0.860709	0.552239	0.478168	0.530575	0.694199	2	TRUE	98.96125	95.16225	-3.79900000000001	0.124363559920812	0.459384726088043	0.905306854722795	613	613	Intermediate	NS	NS
ENSG00000047932.16_1_D	ENST00000052569	ENSG00000047932.16	GOPC	chr6	117560268	117563384	-	117560268	117563253	2985	2	61.912	67.83	69.602	59.434	59.117	65.539	64.77	61.658	61.175	60.204	61.313	62.855	69.106776	71.22999	57.808287	49.881659	51.150257	56.642725	51.273108	46.201914	57.124099	61.007384	50.569577	61.82749	12	TRUE	61.38675	63.73275	2.346	0.143495771026162	0.497473424959249	0.843160897864242	1577	2985	Distal	NS	NS
ENSG00000047932.16_2_P	ENST00000052569	ENSG00000047932.16	GOPC	chr6	117561676	117563384	-	117561676	117563253	1577	2	38.088	32.17	30.398	40.566	40.883	34.461	35.23	38.342	38.825	39.796	38.687	37.145	42.513397	33.781827	25.247522	34.046224	35.373612	29.782817	27.888139	28.730434	36.253385	40.32695	31.9087	36.538128	12	TRUE	38.61325	36.26725	-2.346	0.143495771026161	0.497473424959249	0.843160897864245	1577	2985	Proximal	NS	NS
ENSG00000011465.20_3_D	ENST00000052754	ENSG00000011465.20	DCN	chr12	91145247	91146252	-	91145247	91146057	810	4	7.147	5.125	5.226	3.485	4.895	5.338	5.055	3.573	1.794	0	1.625	4.069	62.150453	25.971169	34.887676	18.305932	26.835143	34.431511	49.989703	25.018016	0.27285	0	0.246624	0.67711	8	TRUE	1.872	4.9805	3.1085	0.0243137944443509	0.207982378861703	1.61414725927063	532	810	Distal	NS	NS
ENSG00000011465.20_4_P	ENST00000052754	ENSG00000011465.20	DCN	chr12	91145525	91146252	-	91145525	91146057	532	4	92.827	94.823	94.75	96.461	95.025	94.628	94.89	96.414	98.206	100	98.318	95.872	807.236689	480.50281	632.478086	506.743952	520.894426	610.356235	938.371584	675.073305	14.934583	16.049774	14.925494	15.954128	12	TRUE	98.099	94.97725	-3.12175000000001	0.0252494404480009	0.210598040169159	1.59774824182406	532	810	Proximal	NS	NS
ENSG00000048544.9_1_S	ENST00000053468,ENST00000997264	ENSG00000048544.9	MRPS10	chr6	42206800	42208394	-	42206800	42208250	1450	2	100	100	100	100	100	100	100	100	100	100	100	100	73.938203	73.160125	70.390839	63.205404	69.908953	64.343185	64.039532	75.440692	82.498697	78.335233	88.609601	85.150692	12	TRUE	100	100	0	1	1	0	1450	1595	Proximal	NS	NS
ENSG00000049541.13_1_D	ENST00000055077,ENST00001065366,ENST00001142870	ENSG00000049541.13	RFC2	chr7	74231498	74232216	-	74231498	74232088	590	2	4.295	4.789	6.588	7.241	6.31	8.077	6.323	6.598	5.691	6.812	4.943	5.653	4.350091	3.764172	4.667519	5.584328	4.583763	6.177735	4.896171	6.225456	5.3888	6.36737	4.968919	5.842861	12	TRUE	5.77475	6.277625	0.502875	0.40849718273031	0.767734686781605	0.388810934306351	425	590	Distal	NS	NS
ENSG00000049541.13_2_P	ENST00000055077,ENST00001065366,ENST00001142870	ENSG00000049541.13	RFC2	chr7	74231663	74232216	-	74231663	74232088	425	2	95.705	95.211	93.412	92.759	93.69	91.923	93.677	93.402	94.309	93.188	95.057	94.347	96.93746	74.837754	66.186218	71.53498	68.056213	70.304514	72.532531	88.12842	89.294376	87.104565	95.558789	97.519426	12	TRUE	94.22525	93.722375	-0.502875000000003	0.408497182730306	0.767734686781605	0.388810934306355	425	590	Proximal	NS	NS
ENSG00000050344.11_1_S	ENST00000056233	ENSG00000050344.11	NFE2L3	chr7	26184532	26187125	+	26185783	26187125	1342	2	100	100	100	100	100	100	100	100	100	100	100	100	5.864671	5.01851	6.668888	6.785887	7.838404	7.786665	9.246235	4.948574	5.989149	5.837025	3.781981	5.57134	12	TRUE	100	100	0	1	1	0	510	1342	Distal	NS	NS
ENSG00000050730.18_3_P	ENST00000057513,ENST00000507879,ENST00000868872	ENSG00000050730.18	TNIP3	chr4	121132392	121132662	-	121132392	121132630	238	3	0	0	0	0	0	0	62.984	45.933	NA	NA	0	0	0	0	0	0	0	0	1.119499	1.161666	0	0	0	0	2	TRUE	0	13.614625	13.614625	0.176501396741984	0.538473207249853	0.753251853477655	238	238	Intermediate	NS	NS
ENSG00000052723.14_1_D	ENST00000060969	ENSG00000052723.14	SIKE1	chr1	114769478	114774372	-	114769478	114774270	4792	3	66.643	65.456	75.072	69.008	61.261	72.105	67.062	63.834	61.897	63.095	64.435	60.71	104.729128	87.304375	87.274102	73.382723	79.921863	80.896633	78.681387	84.694303	57.350698	60.904117	56.815006	58.10944	12	TRUE	62.53425	67.555125	5.020875	0.0179984671188272	0.174075684205136	1.74476448101796	1496	4792	Distal	NS	NS
